objectID,post_title,url,Nom simplifié,Nom
cocktail_5690,Pumpkin Spice Hot Shot,https://1ou2cocktails.com/cocktails/pumpkin-spice-hot-shot/,liqueur,liqueur vanille
cocktail_5690,Pumpkin Spice Hot Shot,https://1ou2cocktails.com/cocktails/pumpkin-spice-hot-shot/,café,café
cocktail_5690,Pumpkin Spice Hot Shot,https://1ou2cocktails.com/cocktails/pumpkin-spice-hot-shot/,la,la citrouille
cocktail_5690,Pumpkin Spice Hot Shot,https://1ou2cocktails.com/cocktails/pumpkin-spice-hot-shot/,crème,crème
cocktail_5690,Pumpkin Spice Hot Shot,https://1ou2cocktails.com/cocktails/pumpkin-spice-hot-shot/,mélange,mélange tarte la
cocktail_5665,Mano Cornuto's Negroni Sour,https://1ou2cocktails.com/cocktails/mano-cornutos-negroni-sour/,gin,gin
cocktail_5665,Mano Cornuto's Negroni Sour,https://1ou2cocktails.com/cocktails/mano-cornutos-negroni-sour/,liqueur,liqueur amère italienne
cocktail_5665,Mano Cornuto's Negroni Sour,https://1ou2cocktails.com/cocktails/mano-cornutos-negroni-sour/,vermouth,vermouth
cocktail_5665,Mano Cornuto's Negroni Sour,https://1ou2cocktails.com/cocktails/mano-cornutos-negroni-sour/,jus,jus citron
cocktail_5665,Mano Cornuto's Negroni Sour,https://1ou2cocktails.com/cocktails/mano-cornutos-negroni-sour/,sirop,sirop
cocktail_5648,Porn Star Martini,https://1ou2cocktails.com/cocktails/porn-star-martini/,liqueur,liqueur fruit la passion
cocktail_5648,Porn Star Martini,https://1ou2cocktails.com/cocktails/porn-star-martini/,liqueur,liqueur vanille
cocktail_5648,Porn Star Martini,https://1ou2cocktails.com/cocktails/porn-star-martini/,jus,jus lime
cocktail_5648,Porn Star Martini,https://1ou2cocktails.com/cocktails/porn-star-martini/,la,fruit la
cocktail_5648,Porn Star Martini,https://1ou2cocktails.com/cocktails/porn-star-martini/,vin,vin
cocktail_5648,Porn Star Martini,https://1ou2cocktails.com/cocktails/porn-star-martini/,la,fruit la
cocktail_5648,Porn Star Martini,https://1ou2cocktails.com/cocktails/porn-star-martini/,mi,mi fruit la
cocktail_5655,Sirop de Vanille,https://1ou2cocktails.com/cocktails/sirop-de-vanille/,ou,gousse
cocktail_5621,Gin &amp; Radicchio Collins,https://1ou2cocktails.com/cocktails/gin-radicchio-collins/,jus,jus citron
cocktail_5621,Gin &amp; Radicchio Collins,https://1ou2cocktails.com/cocktails/gin-radicchio-collins/,eau,eau
cocktail_5621,Gin &amp; Radicchio Collins,https://1ou2cocktails.com/cocktails/gin-radicchio-collins/,liqueur,liqueur amère italienne
cocktail_5626,Sirop de Radicchio,https://1ou2cocktails.com/cocktails/sirop-de-radicchio/,feuille,feuille
cocktail_5615,Thé Glacé Limonade aux Framboises,https://1ou2cocktails.com/cocktails/the-glace-limonade-aux-framboises/,thé,thé
cocktail_5615,Thé Glacé Limonade aux Framboises,https://1ou2cocktails.com/cocktails/the-glace-limonade-aux-framboises/,thé,thé
cocktail_5615,Thé Glacé Limonade aux Framboises,https://1ou2cocktails.com/cocktails/the-glace-limonade-aux-framboises/,jus,jus citron
cocktail_5615,Thé Glacé Limonade aux Framboises,https://1ou2cocktails.com/cocktails/the-glace-limonade-aux-framboises/,sirop,sirop framboise monsieur
cocktail_5615,Thé Glacé Limonade aux Framboises,https://1ou2cocktails.com/cocktails/the-glace-limonade-aux-framboises/,sirop,sirop au
cocktail_5615,Thé Glacé Limonade aux Framboises,https://1ou2cocktails.com/cocktails/the-glace-limonade-aux-framboises/,tiges,tiges
cocktail_5611,Sevilla Sour Rhubarbe &amp; Fraise,https://1ou2cocktails.com/cocktails/sevilla-sour-rhubarbe-fraise/,gin,gin
cocktail_5611,Sevilla Sour Rhubarbe &amp; Fraise,https://1ou2cocktails.com/cocktails/sevilla-sour-rhubarbe-fraise/,jus,jus lime
cocktail_5611,Sevilla Sour Rhubarbe &amp; Fraise,https://1ou2cocktails.com/cocktails/sevilla-sour-rhubarbe-fraise/,sirop,sirop
cocktail_5611,Sevilla Sour Rhubarbe &amp; Fraise,https://1ou2cocktails.com/cocktails/sevilla-sour-rhubarbe-fraise/,et,rhubarbe et
cocktail_5611,Sevilla Sour Rhubarbe &amp; Fraise,https://1ou2cocktails.com/cocktails/sevilla-sour-rhubarbe-fraise/,ruban,ruban
cocktail_5609,Sirop et Compote (2 en 1) Rhubarbe &amp; Fraise,https://1ou2cocktails.com/cocktails/sirop-et-compote-2-en-1-rhubarbe-fraise/,tiges,botte rhubarbe tiges en tronçons
cocktail_5609,Sirop et Compote (2 en 1) Rhubarbe &amp; Fraise,https://1ou2cocktails.com/cocktails/sirop-et-compote-2-en-1-rhubarbe-fraise/,fraises,fraises du et coupées en
cocktail_5600,Ginto Pamplemousse &amp; Concombre,https://1ou2cocktails.com/cocktails/ginto-pamplemousse-concombre/,gin,gin
cocktail_5600,Ginto Pamplemousse &amp; Concombre,https://1ou2cocktails.com/cocktails/ginto-pamplemousse-concombre/,jus,jus pamplemousse
cocktail_5600,Ginto Pamplemousse &amp; Concombre,https://1ou2cocktails.com/cocktails/ginto-pamplemousse-concombre/,sirop,sirop
cocktail_5600,Ginto Pamplemousse &amp; Concombre,https://1ou2cocktails.com/cocktails/ginto-pamplemousse-concombre/,soda,soda tonique au concombre sodas
cocktail_5593,Daiquiri Cerise Épicé,https://1ou2cocktails.com/cocktails/daiquiri-cerise-epice/,rhum,rhum épicé
