Category,Nutrient,Target population,Age,Gender,AI,AR,PRI,RI,UL,Safe and adequate intake,Years,PAL
Vitamins,Vitamin C,Children,11-14 years,Both genders,NA ,60.0,70 mg/day,NA ,ND ,,11-14,
Vitamins,Vitamin C,Children,15-17 years,Male,NA ,85.0,100 mg/day,NA ,ND ,,15-17,
Vitamins,Vitamin C,Children,15-17 years,Female,NA ,75.0,90 mg/day,NA ,ND ,,15-17,
Vitamins,Vitamin C,Adults,≥ 18 years,Male,NA ,90.0,110 mg/day,NA ,ND ,,≥ 18,
Vitamins,Vitamin C,Adults,≥ 18 years,Female,NA ,80.0,95 mg/day,NA ,ND ,,≥ 18,
Vitamins,Vitamin C,Pregnant women,≥ 18 years,Female,NA ,,105 mg/day,NA ,ND ,,≥ 18,
Vitamins,Vitamin C,Lactating women,≥ 18 years,Female,NA ,140.0,155 mg/day,NA ,ND ,,≥ 18,
Vitamins,Vitamin D,Children,11-14 years,Both genders,15,,NA ,NA ,100 μg/day,,11-14,
Vitamins,Vitamin D,Children,15-17 years,Both genders,15,,NA ,NA ,100 μg/day,,15-17,
Vitamins,Vitamin D,Adults,≥ 18 years,Both genders,15,,NA ,NA ,100 μg/day,,≥ 18,
Vitamins,Vitamin D,Pregnant women,≥ 18 years,Female,15,,NA ,NA ,100 μg/day,,≥ 18,
Vitamins,Vitamin D,Lactating women,≥ 18 years,Female,15,,NA ,NA ,100 μg/day,,≥ 18,
Vitamins,Vitamin E,Children,10 years,Male,13,,NA ,NA ,160 mg/day,,10,
Vitamins,Vitamin E,Children,10 years,Female,11,,NA ,NA ,160 mg/day,,10,
Vitamins,Vitamin E,Children,11-14 years,Male,13,,NA ,NA ,220 mg/day,,11-14,
Vitamins,Vitamin E,Children,11-14 years,Female,11,,NA ,NA ,220 mg/day,,11-14,
Vitamins,Vitamin E,Children,15-17 years,Male,13,,NA ,NA ,260 mg/day,,15-17,
Vitamins,Vitamin E,Children,15-17 years,Female,11,,NA ,NA ,260 mg/day,,15-17,
Vitamins,Vitamin E,Adults,≥ 18 years,Male,13,,NA ,NA ,300 mg/day,,≥ 18,
Vitamins,Vitamin E,Adults,≥ 18 years,Female,11,,NA ,NA ,300 mg/day,,≥ 18,
Vitamins,Vitamin E,Pregnant women,≥ 18 years,Female,11,,NA ,NA ,300 mg/day,,≥ 18,
Vitamins,Vitamin E,Lactating women,≥ 18 years,Female,11,,NA ,NA ,300 mg/day,,≥ 18,
